Model,Accuracy,Macro_F1
EBM,0.9737609329446064,0.9745067592566968
XGBoost,0.9650145772594753,0.9660098522167488
Hybrid XGB,0.9533527696793003,0.9546860038116488
Hybrid Rule LR,0.9300291545189504,0.9319891738882129
Decision Tree,0.880466472303207,0.882360248447205
Logistic Regression,0.7405247813411079,0.7422272716390363
